"pagina","texto","error"
146,"136 RONDAIES MALLORQUINES

eQue me'n direu2 Ell es pelegrí el va sebre
trastetjar tan be an es moro, tengué traces per
encalentir-lo tant sobre s' anar a veure sa crema-
dissa d' En Ferrandí, que ""1 ginya i deu més a taiar
es pinarro. /

Buiden sa gran soca, e-hi fan dos o tres forats

de berrobí. Es moro s' hi posa dedins, la carregan
demunt tres carros, i ja son partits cap a ca ""I Rei
cristià.

Es pelegrí comana an es carreters que no s'
aturen fins que hi síen devant, i que allà s' aple-
garà amb ells, en haver enllestides altres feines
que té.

Ses feines foren, que pren una dressera, amb
quatre bots es a ca 'l Rei cristià, li diu lo que
passa, i que sa questió es que, en arribar es ca-
tros amb sa soca, e-hi haja un gran munt de lle-
nya ben seca a 's mig de sa plaça.

Dins una exhalació sa llenya hi va esser. No se
deia per que havía de servir, i ja hu crec que picà
sa mosca a tot-hom sobre que poría esser allò.

La ciutat al punt estigué alta, no hi havía qui

passés per carrers i places de gernació.

El Rei dona orde que tot-hom que vulga anar
p' es mig, ha de dir:

—Avui el cremaml javui el cremamt

Encara no se varen esser passades aquestes
ordes, com d' un cap a l'altre de la ciutat, tot-hom
cuidava a esgargamellar-se cridant: jAvui el cre-
maml javui el cremamli

Arriben ets tres carros amb sa socota i es moro
dedins, guaita qui guaita i escolta qui escolta. l

Com ell sent tant d'avui el cremam, quui el
cremam, cuidà a esclatir de content: no hi cabia
dins sa soca.
",NA
147,"ar al EN FERRANDÍ 137

—iSí que va bél deia ell, isí que serem arribats
de bon toci iSí que n' hi passaré de gust de veu-
re 'l fer flamada an aquell polissól jiVoldría que 'l
cremassen a poc a poc, per que tos més gros es

si turmentl jO que m' agradaria poder anar a pegar-
li unes quantes tionadesi l

Mentres tant ets carros ja eren devant ca 'l Rei 1
cristià. D'orde d' En Ferrandí desjunyen ets pareis
i acaramullen tota sa llenya entorn de sa socota.
Llavò li peguen toc, i fum i fum.

Prompte hi hagué una flamada de més de cent
paums, i aviat llenya, carros, soca i Rei moro va
esser tot caliu i cendra.

ija estigué tet del Rei moro, des seu castell, de
tot es seu poderl.

Poreu creure el Rei cristià si devía botar d' ale-
gria i xalar a les totes. )

Com ets seus vassalls saberen qui era que ha- .
víen cremat, tot-hom tirà Sa casa per sa finestra:
se varen ter tres díes de testa, i rigueren i tolga-

l ren fins que se pogueren aguantar.

An En Ferrandí el passetjaren en triunto: i, en
sortir an es carrer, tot-hom ja s'hi abordava a
fer-li testes i xicotines.

El Rei si que n' hi teu.

Li digué que no volía que aixecàs una paia de 'n
terra, i passa orde que tot-hom el tractàs com a
senyor, i que li accedissen tot lo que demanaria,
mentres no fos contrari a sa llei de Deu.

l En Ferrandi, tot xaravel'lo, menjava i bevía
i se passetjava, i aont se vuia. se presentés era

hi ben arribat.

Ara ets seus germans el dimoni los se' n duia
d' enveja. No menjaven ni dormíen, pensa qui
pensa quina la hi havíen de fer.
",NA
148,"138 RONDAIES MALLORQUINES
—El Rei encara era tadrí, i li arribà a ses oreies
que hi havía la Princesa d' Orient, que tenía es
reinat més gran del mon i també era fadrina, i do-
nava carabaça a tots ets qui /i demanaven de
noves. No anava gens de posar es coll devall es D
jou del sant matrimoni, i no era que no servés es
e llum ben dret i que no se pogués passetjar cara
alta per ont se vuia. /
El Rei cristià estava tot elevat amb ses noves
que li venien d' aquesta Princesa.
l —iAi si jo li poría arribarl sí jo amb un enginy
o s' altre la pogués pendrel... ijNo 'm puc casar en
no esser amb ellal
Crida ets homos més sabuts des reinat per
veure com ho ha de ter per robar la Princesa d'
Orient, i no n' hi hagué cap que li donàs gens de
camí. ,
. —l el Rei ben apurat, que no veia per ont cami-
nava.
An En Juan i En Toni los vengué una idea del
dimoni.
Se presenten an el Rei, i li diuen:
—Senyor Rei, En Ferrandí se deixa dir que 's
donaría en coratge d' anar-li a menar la Princesa
o d'Orient.
—éDe boo .
—il tant de bol
—Que venga al acte.
Le hi fan anar, i li diu: /
—Mira, me vui casar amb la Princesa d' Orient.
Tu l'has d'anar a robar, i no torns que no la 'm
— mens. -
En Ferrandí no hi feu dos mots: va veure que
era ben per demés.
",NA
149,"EN FERRANDÍ 139

Se 'n va an es cavall, que li digué:

—No hages por, la durem. Poset demunt mí, i
cap a llevant falta gent.

, S"" hi posa, i de d' allà com un llamp.

Passen per dins un pollar, i senten uns piulos,
sa cosa més llastimosa.

o En Ferrandi devalla, i veu que es un aucellet. — £
embaraçat dins un aritjal i que ja feia ses de-
rreres. :

El desembaraça, i es cavall diu: I

—Arrabaça-li tres plometes, i guarda-les, que
prou les hauràs mester.

Les hi arrabaça, li amolla, i s' aucellet, tot
aixerit, per amunt i per amunt.

Pega bot dalt es cavall, que prengué de bell
nou sa fua, i amb una exhalació varen esser a
mar.

: Dins un baixest d' arena, aont ses ones havíen
feta mica d' escapada, afina un peixet que se re-
vinglava com un desesperat, autegant-se de tot.

En Ferrandí l'agata per sa coeta per tirar-lo a
mar, i es cavall diu:

—Treu-li tres espines, i guarda-les, que prou
les hauràs mester.

Les hi treu, li amolla dins s'aigo, i es peixet
per endins i per endins just un llampó.

Es cavall diu:

—Ara tornaré un vaixell de vidre, i donem
sempre cap a llevant. En esser an es port de la
Princesa d' Orient, tas a sebre a tot-hom que, per
deixar veure es vaixell, e-hi ha d' entrar sa prime-

/ ra de tots la Princesa. Tot-d' una que hi pos es
peus, me pegas un toc amb sa mà, tot dient:
iHala petitl—i estam salvats.
",NA
150,"L)

140 RONDAIES MALLORQUINES l

Encara no hagué dit això, com pega llongo
dins mar, i torna un vaixell de vidre, que feia te-
redat de gros, i embéellía d' hermòs.

Es buc era de vidre de mil colors, ets abres
eren d'or, ses vergues de plata, velam i cordam
de seda. No hi faltava un amén.

0 En Ferrandí li dona cap a llevant, i vos assegur
que les taiava be a ses ones, que 'n deixava de
solc i de sabonera derrera, i que 'n feia de camí.

Des cap de set díes arriba an es port de la
Princesa d' Orient. l /
Com veren es vaixell de vidre, que resplandía

com. un sol, .tota.la ciutat s' abocà an es moll. Tot-
hom demanava per veure es vaixell per dedins.
—Tots el poreu veure, deia En Ferrandí, però
vui que la senyora Princesa sía sa primera. Si
ella no ve devant, no hi arribareu, tendreu es
morro curt.

La Princesa e-hu sab, i no hi fa dos mots.

Se'n va amb:tota la Cort an es moll, i, sa de
devant de tots, se 'n puja an es vaixell.

Encara no hi tengué es peus, com En Ferrandí
pega toc a s' abre mestre, tot dient:

—iHala, petitl

Dir-ho i es vaixell esser cent llegos entora,
fonc tot u.

Poreu pensar quin esglai per la Princesa.

Veent-se perduda, tira una pinta d' or a la mar.

Tocan a terra, i es vaixell torna cavall, amb En
Ferrandí i ella demunt, i ide quatres cap a ca ll
Reil

Passen per dins un pollar, i ella d' amagat se si
treu un anell de diamants, i el tira.

Arriben a ca'l Rei, i En Ferrandí presenta la
Princesa. l
",NA
151,"EN FERRANDÍ 141

Era s' al'lota més garrida i plantosa que s' ha-
gués vista mai. :

Tot-hom queda ferit l'a devant ella, sobre tot
el Rei, que digué: l

3 —iA veure quant mos casaml

—Jo no 'm cas, diu ella, que no 'm duguen qua-

tre gerres d' aigo des pou des lleó per rentar-me. ,
. Aquest pou tenía s'aigo setcentes braces en-

dins, i el guardava un lleó, fermat amb una cade-

na que tirava set llegos de llarc: i, en acostar-s' hi

ningú, l esbenava. No n'hi havíen pres un glop

mai d' aigo.

El Rei no hagué de mester que En Juan i En
Toni li anassen a borinetjar a s' oreia: En Ferrandí
se deixa dir que duría aquestes gerres.

Sensa que li butassen, crida s' al'lot, i li diu:

—Tu que t' ets sabut enginyar per dur-me la
Princesa, enginyet per dur-li ses quatre gerres d'
aigo des pou des lleó. Ves-te 'n-hi al acte, i jno
tornes que no les duguesi

En Ferrandí se'n va tot acongoixat an es ca-
vall, que digué:

—iNo hages porl Posem uns arganells amb
quatre gerres, i tu demunt. Es lleó, en estar des-
pert, té ets uis clucs, en dormir, los té badats. En
veurer-los-hi badats, atanyet a treure ses gerres,
carrega-les-me, i en tenir-les jo demunt, som escà-
pols.

Li posa-uns arganells amb quatre gerres, i ja
son partits.

Camina caminarés, arriben an es pou ditxós.

É Es lleonot, que era com un bou, estava agegut
allà devora, badant uns uis com uns platets.

En Ferrandí amb quatre grapades umpl ses ge-
",NA
152,"142 RONDAIES MALLORQUINES
rres, i just com posava sa derrera dins ets arga-
nells, es lleonot se despert, i enverga bramul i
llongo cap an es cavall. Però es cavall, amb ses
quatre gerrés i En Ferrandí demunt, icametes me

l valguenl per avall, i es lleó derrera ell, com un

dimoni. Í desiara li arribava amb sos claus i amb
ses arpes devers ses guerres i Sa coa, però es ca-
vallet ho teia de tot, i no perdía gens, i mes tost
reprenía. l

Com varen haver corregudes set llegos, sa ca-
dena des lleó s' acabà, i es lleó no se pogué fer l
pus enfora, i allà estirades, i espolsades, i bra-

l muls, i pols al aire.

— jO quina rabiada va pendre aquell animall Si sa
cadena no fos estada tan revenguda, la rompía.

No tengué altre remei que tornar-se 'n an es pou
coa baixa i brutant.

En Ferrandí arriba a ca'l Rei, i entrega ses
quatre gerres d' aigo.

Quant ia Princesa les tengué, i se va esser ren-
tada, diu:

—Ara necessit sa pinta d' or per pentinar-me.

—En tenc una que no ha fet res mai, diu el .
Rei. ,

: —No 'm serveix: ha d' esser sa meua.

—l éaont es aquesta pinta2

—Dins mar. I no'm pentinaré ni 'm casaré que be
no la tenga.

El Rei crida En Ferrandí: En, di

—Ara a la Princesa li falta sa pinta d'or per
pentinar-se i casar-mos. Sa pinta es dins mar. Tu
que no tens res impossible, ves-le-hi a dur. Parteix
al acte, i no tornes, que no la dugues.

En Ferrandí, tot acongoixat, se 'n va an es
cavall, que li diu:
",NA
153,"EN FERRANDÍ 143

—No hages por, anem a mar, allà meteix ont
vaig tornar un vaixell de vidre, i cridas:

—Animalet de Deu,
a donem lo que 's meu,
ijo't daré lo que 's teu.

Se 'n hi van, i En Ferrandí de dalt una tenassa
se posa a cridar:

—Animalet de Deu,
donem lo que 's. meu

i jo 't daré lo que 's teu.
—Animalet de Deu
donem lo que 's meu,
ijo't daré lo que's teu.

Al punt guaita un peixet amb sa pinteta d'or a
sa boca.

Era aquell meteix que En Ferrandí l havía tro-
bat que s' autegava, i l havía tirat a la mar.

En Ferrandí li pren sa pinteta, i li torna aficar
ses tres espines així com les tenía primer, i cap a
ca I Rei s' ha dit.

Com la Princesa veu sa pinta d' or, diu:

—Ara ""m falta un anell de diamants.

—el aont esP diu el Rei.

—Me caigué dins un pollar. I no 'm casaré que
no 'Í tenga.

El Rei crida En Ferrandí:

—Ara li falta un anell de diamants per casar-
mos, i li caigué dins un pollar. Tu que no tens
res impossible, ves a dur-le-hi. Parteix al acte, i

z no torns que no 'l dugues. l

En Ferrandí tot acongoixat, se 'n va an es ca-

vall, que li diu:
",NA
154,"I
144 RONDAIES MALLORQUINES
—No hages por: poset demunt mí, anem an
aquell pollar per ont passàrem, i cridas:
— Animalet de Deu,
donem lo que 's meu, r
ijo't daré lo que 's teu.
Se 'n hi van, i En Ferrandí se posa a cridar.
— Animalet de Deu,
donem lo que 's meu,
i jo 't daré lo que 's teu.
—Animalet de Deu, ,
donem lo que 's meu
ijo't daré lo que 's teu.
Al punt, fac, se'n ve aquell meteix aucellet
que l havien trobat embaraçat, i duia s' anell de
diamants amb so bec.
En Ferrandí le hi pren, li torna aficar ses tres
plometes allà ont les tenía primer, i jcap a ca /l I
Rei talta gentl
Com el Rei veu s' anell, el se'n du correns a
la Princesa, tot dient:
—jAquesta vegada se ta s' esclafitl
Però es comptes toren errats, perque la Prince- l
sa, com tengué s' anell, sortí amb aquesta: l
—Ara per casar-me, m' han de fer una tornada l
de pa de xeixa, i la m' han de treure sensa pala. l
El Rei ja ho hauría tet a tocs. Cremat de tot,
fet un Nero, crida En Ferrandí, i li diu:
—Ara vol que li tassen una tornada de pa de
xeixa, i que la hi treguen sensa pala. Tu que has
fet el més, teràs el manco: tu la treuràs. Ja t
avisaràn com sía s' hora. s
En Ferrandí quedà sensa polsos. Se'n va tot
plorant an es cavall, que li diu: (
",NA
155,"EN FERRANDÍ 145

Consent a: morir per salvar-te la vida. Taiem sa

. vena alteria, derramaré tota sa sang. En esser

l mort, m' escorxes, no 'm deixes gens de carn an

A es cuiro, el t abrigas ben abrigat, i no't tarà res
s' entrar dins es forn.

En Ferrandí per cap vent del mon volía matar
es cavall, fins que a la fí e-hi allarga es coll.

L'escorxa sensa deixar-li gens de carn an es
cuiro, i l avisen de part del Rei que sa tornada
de pa ja es treguedora.

L' homo s' abriga es cuiro ben abrigat, s' afica
dins es forn, i amb quatre grapades va tenir es pa
defora.

Es cuiro feia xiu xiu i fum per llarc, i, si En
Ferrandí e-hi està mig minut més, ja no l'hauría
defensat pus d' aquella calentor abrusadora.

Presenten sa fornada de pa a la Princesa, i
aquella gran fraidora diu an el Rei.

—Aquesta l'ha treta En Ferrandí: ara n'has
de treure una tu, si vols que mos casem. l

Com el Rei la sent, se vola, li diu ses mil llàs-
times, li fa ses -mil amenaçes, però ella, sa més
fresca del mon, i com si li haguessen tirades paies
de Menorca, no s' aturava de dir:

—iTots aquests estufornos son ben escusadorst —
Amb mí no hi valen amenaçes. Poràs ter lo que
vulgues, però lo que 's diu casar-te amb mi, Si no
treus sa fornada de pa sensa pala, mira quina
hora t' ho dic, no t' hi casarés.

El Rei a la tí va veure que no hi havía altre

— remei.
r —No res, digué, En Ferrandí s' abrigà es cuiro
des seu cavall: jo me'n abrigaré set, i m' hi faré
Tom. III—I10
",NA
156,"146 RONDAIES MALLORQUINES
deixar molta carn. l així, com sa calentor los hau- l
rà travessats, jo ja tendré sa fornada tora.
En seguida fa pastar, i entornar, i escorxar set
cavalls, comanant que deixassen molta carn en :
ets cuiros. I
Li donen avís que se fornada ja es cuita, ell s'
abriga ets set cuiros, i se 'n entra dins es forn.
Aquella tanta carn se fongué, es suc se va en-
cendre, ets cuiros feren flamada, i el Rei roman-
gué cuit. No més quedà una mica de cendra.
Aquí En Toni i En Juan digueren:
—Ara En Ferrandí se farà amo de ses mel'les.
No tenim més remei que togir.
l fogiren abans de més raons, i no los veren
pus. l
La Princesa d' Orient, com va veure el Rei cre-
mat dins es forn, digué an En Ferrandí:
—Ara 'm vui casar. l es amb tu que 'm casaré
si tu vols, perque ets tu que m' has guanyada: tu l
vares tenir enginy per robar-me, tu 'm dugueres
s' aigo des pou des lleó, tu'm trobares sa pinta
d' or i s' anell de diamants, tu has treta sa tornada
de pa de xeixa sensa pala. Aquesta serà sa for-
nada de noces.
I l ja hu crec que En Ferrandí no hi va ter dos
motsi
Se casà amb la Princesa, teren unes noces mai
vistes, i foren els Reis més poderosos del mon.
Varen tenir una partida d'infants, i visqueren
com Juseph i María anys i més anys, i encara son /
vius Si no son morts. Í al cel mos vegem tots ple- J
gats. Amén.
Torre Nova, Juriol de 1897.
",NA
157,"ODOEOIEBCdEODSODdECOQEOdOCODOdOOOdOlQOdH
TNTXTIÍTITITXTAÀTITÀ
la
EN PERE DES FORN Y
Dra Se ell

Ars era una tornera viuda que no més tenía
I un fii, En Pere, que li faltava una Saó, i sa
des Bril, que's sa millor. Ara per menjar en vo-
lía amb qui alenava. l

—Tira, vestén an es port, (2) li diu un día sa
mare, veam si duràs una somada de llenya, que
l'hem mester com es pa de cada día. No porem
fornetjar sensa, fii meu.

lli donà una coca com un aré per que li bastàs
per tot lo día.

L' homo toca soletes, i comença a donar-li clau.

Com va esser a sa /oní nova È) ja la se va ha-
ver acabada.

l éque fa ell2 Torna arrera.

—el ara2 diu sa mare, com lo veu.

—Que sa coca s'es acabada a sa /onf nova, i
he girat. l

—i Ah gran golatrel el que tendràs tam calinaP

l (1) La 'm contà el sen Pere (rotze, de Manacor.

(2) S'entén, el port de Manacor.

(3) Aquesta font o pou i els demés punts que s' anomenen en aques-
ta rondaia se troben anant p' el cami de Manacor an cl port,
",NA
158,"148 RONDAIES MALLORQUINES
éUna cocassa com aquella haver-la-te etzibada
d'aquí a sa font novaP iTan meteix passa la
midat...

—iSabeu que era de bonal No me'n he pogut
deixar, i més n' hi hagués haguda, més n' hauría I
menjada.

— ji Ell es com un avenct... iUn llinatge t' aca-
baríesl Ph al / l

—il ben aviat, si era tan bo com sa cocal

La dona, tota enfadada, ho conta a ses veina-
des, que li digueren:

—Un altre pic posa-li borres, i la tendrà més
mala de roegar. :

E-hu ta així, i lo endemà En Pere amb sa gran
coca ja es partit cap an es porí a dur sa Somada
de llenya... l

Encara no havía passat es portal de ca-seua,
com ja comença a donar clau a sa coca, i, clava-
da ve clavada va, tot eren borres que s' engan-

— Xaven per ses dents i caixals, i cada punt havía
— d'escopir.

—ija la m'ha teta de farina d' ordil deia ell.
i Tot son tàstaresi i Vaja quin cabermonil

Devers es Molí d' en Sopa se cansà de maste-
gar borres, i gira en coa cap a la vila.

—él araP diu sa mare, com lo veu.

—M' e-hu teta sa coca de farina d' ordi, tot
son tàstares, i el diantre que la roec, i he girat.

—jAh bota terreral él com farem sa fornada de
demà, sensa llenya2 ,

—iJja vos enginyareul

—Sí, t' hi porem posar a tu per llenya.

—iSi sou capasse, e-hi consenti aus

— jLocol ire-locotl l
",NA
159,"EN PERE DES FORN 149

La pobreta, apurada de tot, ho conta a ses vei-
nades, que li digueren: l

—Un altre pic posa-li macs de mar, i diga-li que
son taiades de fetge.

a E-hu va fer així, i En Pere lo endemà tot con-
tent icap an es porí/ ben cregut de que se'n duia
una coca amb taiades de fetge.

Comença a donar-li clau tot-d' una que partí, i,
clavada ve clavada va, rac-arrac rac-arrac a ses i
taiades de fetge, i no los poría ter res.

Les retxava així meteix i los llevava qualque
llenca, perque tenía un barram de ferro, però no
'n pogué engrunar cap de tot. Íl, una després s'
altre, les arribà a tirar totes, i s' hagué de calar
sa coca rònega, que li durà fins an es port. —

Com e-hi'va esser, va tenir peresa d' haver de
taiar sa llenya, i se posa passetja qui te passetja
per devora s' aigo.

Com prou s' hagué passetjat, afina a ses coves
blanques (1) una cosa negre qui se bellugava.

S' hi acosta, i fonc un vell-marí qui feia es ba-
tegot demunt s' arena, i per cap vent del mon
poria arribar a S' aigo.

—é Vols que t' aitP diu En Pere.

—Me farías un gros favor, diu s' animalet.

En Pere s'hi abraona, i a força d' estrevades i
premudes l' arribà a s' aigo.

Es vell-marí pega unes quantes remades, més
falaguer que un pern de rita, treu es cap, i diu an
En Pere:

—Qualsevol cosa vulgues, no has de fer més

(1) Son a un costat del port de Manacor: la mar hi arriba en díes de
maror.
",NA
160,"150 RONDAIES MALLORQUINES
que dir: jPer virtut del vell-marí que's fassa tal
cosal/ i se tarà al acte.

e o Encara no hagué dit això, com pren sa fua per
endins, ben atacat, i no 'l veren pus.

—dAixí va això2 diu En Pere. ija mos dirà en
popa, si aquesta es veral jAra meteix vui fer ses
provesl...

Se'n va a un redol de mates ben espesses i
ben grosses, i diu:

—iPer virtut del vell-marí, que aquestes mates
quédien taiades i teixos tetsi

l aquelles mates /zas/ ja les veren amb so ra- l
bacell per amunt, i se'n ve tot amb-u un trebolí
de vent, les alça al aire fent-los ter es molinet, i,
com pegaren en terra, foren teixos fets...

En Pere los acaramulla, s' hi planta demunt,
di. — I

—iPer virtut del vell-marí, que aquesta llenya
se 'n vaja tot dret a ca-nostra, i que me duga a míl

l aquell caramull de teixos ja es partit, tot sol,
tira tira cap an es torn de sa viuda, amb En Pere
demunt, més aixencat que 's bal'le d' Artà.

No vos dic res la gent que trobava p'es camí,
si hi quedava embadalida veent allòl

Com entrà dins la vila, al'lots, donetes, tots ets
desenfeinats, li corregueren derrera.

Com fonc an es forn, duia un rossegai de gent
que parava es carrer més de docentes passes.

l ben alerta que anà En Pere a dir res des vell-
marí.

Sa mare ja no anà curtetjant pus de llenya per
fornetjar, perque an En Pere no més li costava
anar-se 'n an es port i dir:

—iPer virtut del vell-marí, que se tai aquesta
",NA
161,"EN PERE DES FORN 151
llenyal iPer virtut del vell-marí, aquesta llenya
cap a ca-nostral

, Un día se'n hi anava an es port, i devant s'
hort d' en Contes troba un homo que menava un
h ase amb uns escorbeis, que no teia ombra de ma-
gre. No li faltaven genoieres, bonys i esclatadu-
res, i ets ossos des molucs li toradaven es cuiro.

—eQue voleu. d' aquest ase, germàú2 diu En
Pere.

—Velt-aquí per no res, si'l voleu, diu aquell
homo. Tan meteix el duia a escoixar.

—ldò jau un sou pe 's dogal, i venga s' ase.

El se passa devant, i fris-tras tris-tras cap an
es port.

Un poc antes d'arribar a Sa Rella, troba un
homo que menava un ca qui claretjava de magre,
fermat amb un vencís.

—iQue voleu d' aquest ca, germanet2 diu En
Pere. :

—El poreu pendre per no res, diu aquell. Tan
meteix el duia a penjar, perque es tornat vei, i ja
no se guanya es pa, no s' acabussa.

—ldò jau un sou pe 's vencís, i venga es ca.

El posa demunt ets escorbeis a l' endreta, i cap
envant s' ha dit.

Devant Santa Cirga en troba un qui menava

l un moix que no més tenía se pelleta i ets ossos, i
el poríen travessar bellament amb una guya. El
menava termat amb una llenderina.
—eQue voleu d' aquest moix, germà2 diu En
Pere.
- i —Si el voleu per no res, preniu-lo. Era un moix
de primera, però es tornat vei, i ses rates ja se 'n
riuen, i el me 'n menava per ter-ne un serró.
dl
",NA
162,"152 RONDAIES MALLORQUINE S

—Idò jau un sou per sa llenderina, i es moix
es meu.

El posa a s' altre banda d' escorbeis, i de d' allà

"" s'ha dit. ,

Devers sa bassa rotja de Soh Suau troba un
homo amb un garrot que abaix feia rabasseta.

—iO quin garrotet tan garritl diu En Pere.

—il si vos sabésseu s' habilidat que tél diu
aquell.

—Veam digau-le 'm.

—lIdò, que'n dir-li. Pal-i-tocs, fes lo que sabs
fer,—s atúa a sa gent, i dona més garrotades que
'l dimoni, i a ferir. Desgraciat des qui li està de-
vant.

Un sou vos ne don, diu En Pere.

—Feta està sa barrina, diu aquell. l n' estic

l content, perque jo tenc un geni més curt que una
moneia, i, en fer-me gens es per que, me crem,
afúu es pal-i-tocs, i llavò es com En Peretjal, (1)
que, en sortir, fa joia. l

En Pere li dona es sou, i pren es pafi-focs i
de d' allà.

Demunt es Coll troba un homo amb una espa-
seta.

—jO quina espaseta més plaent, diu En Pere.

—il si vos sabésseu s' habilidat que tél diu
aquell.

—Digau-le ""m, si voleu.

, —lIdò, que en dir-li: /Espasefa, tfaia collsl jes-
paseta, no li amolls/—no 'n deixa cap demunt
ses espal'les, mentres n' hi venguen devant.

(1) Es un nigul baix, blanc i gruixat, qui surt en el grec. Si surt
corretjat, això es, encrevat amb altres niguls, denota algo. Si s' alça,
se fon, i se resol en vent. i
",NA
163,"EN PERE DES FORN 153
—Un sou vos ne don.
—Feta està sa barrina, i me feis ben content si
la preniu, perque tenc un genió com a toc, i sols
/ que m' apunten, ja hi abord s'espaseta, i llavò
5 me fa massa destroça.
En Pere li dona es sou, i pren s' espaseta, i cap
an es porí manca gent.
E-hi arriba, cerca un redol de mates que li agrat,
i ja diu:
eo —iPer virtut del vell-marí, totes aquestes mates
romanguen taiades i teixos fetsi i
Encara no hu hagué dit, com ra-rrac totes
aquelles mates amb ses rels per amunt i feixos
fetsi
Los compón fent garbera, hi fa pujar s' ase amb
sos escorbeis, i es ca i es moix demunt, e-hi puja
ell amb so pal-i-tocs i s' espaseta, i diu:
—iPer virtut del vell-marí, tota aquesta llenya
i noltros cap a ca-nostral
l aquell munt de teixos i ells icap an es forn
s' ha ditl i ben depressa.
Com sa mare el me veu amb aquell ase, aquell
ca i aquell moix, el se cuidà a menjar de noms
que li digué, però ell la s' escoltà tant com si li
haguessen tirades paies de Menorca.
Donà paia i faves a voler a s'ase, i pa blan i
OSSOS i connes de formatge i pellotes de sobras-
sada an es ca i an es moix, i aquells animalets
aviat posaren popes, i es pel los tornà una mica
lluent: no pareixíen ets meteixos.
l En Pere que no se 'n anava en lloc mai en no
L esser amb so pal-i-tocs i s' espaseta, encamellat
dalt s'ase amb sos escorbeis i es ca i es moix
demunt, un a l'endreta, s' altre a l' esquerra.
MR a
",NA
164,"154 RONDAIES MALLORQUINES

I tot-hom jalerta mosquesi an En Pere des forn.

En aquells temps el Rei tenía una guerra molt
encarniçada amb un altre Rei, i no la poría gua-
nyar per cap vent del mon.

Perdut de tot, fa unes dictes: que qui li fassa
guanyar sa guerra, sa casarà amb sa seua fia.

S' hi presentaren molts de prínceps i grans se-
nyors, ets més valents que 's passetjaven, però
tots, com prou havíen avençat, arribaven a fer ,
ets ous en terra, com ets sabel'lins.

En Pere des forn se 'n arribà a témer, i diu a sa
mare: :

—Me 'n vaig, i no tornaré que no sía gendre
del Rei.

Be plorinyà sa mare, be esqueinà i s' escabeià,
però no 'l pogué tòrcex

L' homo, un dia ben dematí ben dematí, s' aixe-
cà... antes de anar en lloc: posa ets escorbeis a

s'ase, i es ca i es moix demunt, s' aixanca ell a
's mig amb s' espaseta i es pal-i-tocs, i un pa i
una sobrassada dins sa taleca.

I—jErri, Gelat/—li pega ponyida an es golés
amb sa pua des canó de s' esca.

Perque no havía pensat a dir que En Pere tu-
mava amb pipa.

l en Gelat, trot trot, de d' allà capJa""ca 'l Rei.

Camina caminaràs, e-hi arriba des cap de tres
díes. l

E-hi havía una partida de criats a sa carrera que
feien la pretxa. ,

En Pere no aturà en Gelat fins que: los va esser.
demunt, i amb un poc més en trapitja un parei.

—eQue farem amb aquest ase2. cridaren aquells
fent-li amples. él aont teniu ets uis, que no veis
si trapitjau la gente digueren an En Pere.
",NA
165,"EN PERE DES FORN 155
—lI voltros éaont los teniu, que vos deixau
trapitjar2 respòn s' estornell.
l Ets criats el se miraren de dalt a baix a ell i
tots ets seus ormetjos, i quedaren sensa paraula
tot-d' una, però llavò li digueren:
—Germanet, i éque cercau per aquí2
—l équi voleu que cercP diu En Pere, sensa de-
vallar de s' ase. iVeiés si vos cercaré a voltrosi...
Tampoc no us e-hu de figurar tenir tanta mereixe-
ra... GE-hu voleu sebre qui cercP Idò el Rei. dQue
le hi trob tan meteix I
—Si que le hi trobau.
—Idò ique surtal
- -sAi que surta2 el que veniu de ses Arasses,
germanetP
—No, de ca-nostra.
—Í ide que anau per aquí2
—No es compte vostro. Voltros anau a dir an el
Rei que surta, que a posta vos pagan per servir.
—Però di tan barbatxo sou que no sabeu que /
an el Rei no li manen teines2 /
—Si no 'I feis Sortir, sabreu jo qui som.
El Rei sentí aquestes completes de nyic i nyiec,
i guaita per un tinestró.
—il ara que teniu2 digué an ets criats.
Però llavò reparà En Pere dalt s' ase, amb s' es-
paseta, i es pal-i-tocs, i es ca i es moix a cada
banda d' escorbeis, i li va caure molt de toc.
—iBon día tenga, senyor Reil digueren ets
criats.
l venga una bona vinclada de cos per devant.
—iOlal diu En Pere, llevant-se es capell tot-d'
una que 'l repara... éVol dir això es el Rei2... iBon :
día tenga, senyorl... Que no està trempadet2 :
P
",NA
